name,description,headquarters,funding,website,industries,company_size,founded
Unknown,N/A,N/A,,N/A,,N/A,N/A
Numeric,Building the next-gen financial data platformEnterprise SoftwareFinTechAccounting,"San Francisco Bay Area, California, USA","Founders Fund, Menlo VC, IVP, $28M Series A in 2024",https://www.numeric.io/?utm_source=topstartups.io,"Enterprise Software, FinTech, Accounting",11-50 employees,2021
Render,"Help 2M+ developers build, deploy, and scale apps with unparalleled easeSaaSEnterprise SoftwareDeveloper Tools","San Francisco Bay Area, California, USA","Bessemer, General Catalyst, $80M Series C in 2025",https://www.render.com/?utm_source=topstartups.io,"SaaS, Enterprise Software, Developer Tools",51-100 employees,2018
Harvey,AI provider for legal workersArtificial IntelligenceLegal,"San Francisco Bay Area, California, USA","Sequoia, Kleiner Perkins, $300M Series D in 2025, $3.0B valuation",https://www.harvey.ai/?utm_source=topstartups.io,"Artificial Intelligence, Legal",201-500 employees,2021
Semgrep,Profoundly improving software security and reliabilityCybersecuritySaaS,"San Francisco Bay Area, California, USA","Sequoia, $100M Series D in 2025",https://semgrep.dev/?utm_source=topstartups.io,"Cybersecurity, SaaS",201-500 employees,2017
HighTouch.io,"Sync customer data to your SaaS, marketing, sales, and success platforms.MarketingEnterprise SoftwareSaaSSales","San Francisco Bay Area, California, USA","Y Combinator, $80M Series C in 2025, $1.2B valuation",http://www.hightouch.io/?utm_source=topstartups.io,"Marketing, Enterprise Software, SaaS, Sales",11-50 employees,2018
Qventus,"Qventus optimizes decisions in hospitals in real time to reduce costs, improve quality and experience.Predictive AnalyticsHealthcare","San Francisco Bay Area, California, USA","Bessemer, Y Combinator, $85M Series D in 2025",http://www.qventus.com/?utm_source=topstartups.io,"Predictive Analytics, Healthcare",101-200 employees,2012
Speak,Language learning app that gets you talkingSaaSConsumerArtificial Intelligence,"San Francisco Bay Area, California, USA","Accel, $78M Series C in 2024, $1.0B valuation",https://www.speak.com/?utm_source=topstartups.io,"SaaS, Consumer, Artificial Intelligence",11-50 employees,2016
Databricks,Databricks is a data-and-AI company that interacts with corporate information stored in the public cloud.Artificial IntelligenceSaaSAnalyticsData Science,"San Francisco Bay Area, California, USA","Andreessen Horowitz, $10B Series J in 2024, $62.0B valuation",http://databricks.com/?utm_source=topstartups.io,"Artificial Intelligence, SaaS, Analytics, Data Science",5000+ employees,2013
Kong,Kong offers the industry-leading service connectivity platform designed for modern architectures.Enterprise SoftwareSaaS,"San Francisco Bay Area, California, USA","Andreessen Horowitz, $175M Series E in 2024, $2.0B valuation",https://konghq.com/?utm_source=topstartups.io,"Enterprise Software, SaaS",201-500 employees,2017
Cresta,Cresta leverages artificial intelligence to help sales and service agents improve the quality of their customer serviceArtificial IntelligenceSalesEnterprise Software,"San Francisco Bay Area, California, USA","Sequoia, Andreessen Horowitz, $125M Series D in 2024",http://cresta.com/?utm_source=topstartups.io,"Artificial Intelligence, Sales, Enterprise Software",201-500 employees,2017
Infinitus,AI healthcare company focused on automating complex phone-based workflowsHealthArtificial Intelligence,"San Francisco Bay Area, California, USA","Andreessen Horowitz, Kleiner Perkins, $51M Series C in 2024",https://www.infinitus.ai/?utm_source=topstartups.io,"Health, Artificial Intelligence",101-200 employees,2019
Nooks,"AI dialing and prospecting platform, trusted by thousands of SDRs & AEs to cut out the busyworkArtificial IntelligenceSales","San Francisco Bay Area, California, USA","Kleiner Perkins, $43M Series B in 2024",https://www.nooks.ai/?utm_source=topstartups.io,"Artificial Intelligence, Sales",51-100 employees,2020
Decagon,Develops AI support agents for enterpriseArtificial IntelligenceEnterprise Software,"San Francisco Bay Area, California, USA","Andreessen Horowitz, Accel, $65M Series B in 2024",https://decagon.ai/?utm_source=topstartups.io,"Artificial Intelligence, Enterprise Software",11-50 employees,2023
World Labs,Develops AI models with spatial intelligence for 3D world perception and interactionArtificial Intelligence,"San Francisco Bay Area, California, USA","Andreessen Horowitz, $230M Series A in 2024, $1.0B valuation",https://www.worldlabs.ai/?utm_source=topstartups.io,Artificial Intelligence,11-50 employees,2023
Safe Superintelligence,World's first straight-shot safe superintelligence labArtificial Intelligence,"San Francisco Bay Area, California, USA","Sequoia, Andreessen Horowitz, $1B Series A in 2024",https://ssi.inc/?utm_source=topstartups.io,Artificial Intelligence,1-10 employees,2024
Harmonic,Building the world’s most advanced mathematical reasoning engineArtificial Intelligence,"San Francisco Bay Area, California, USA","Sequoia, $75M Series A in 2024",https://harmonic.fun/index/?utm_source=topstartups.io,Artificial Intelligence,11-50 employees,2023
Atlys,Atlys makes it fast for anyone to get a visa.ImmigrationTravel,"San Francisco Bay Area, California, USA","Andreessen Horowitz, Sequoia, Accel, $20M Series B in 2024",https://www.atlys.com/?utm_source=topstartups.io,"Immigration, Travel",11-50 employees,2020
Cortex,Cortex is a software platform that manages and operates microservices.Enterprise SoftwareDeveloper Tools,"San Francisco Bay Area, California, USA","Sequoia, $60M Series C in 2024",https://www.cortex.io/?utm_source=topstartups.io,"Enterprise Software, Developer Tools",101-200 employees,2019
Get newly funded startups delivered to you weekly,N/A,N/A,,N/A,,N/A,N/A
