name,website,category,location,funding_amount,funding_round,date,source
Mercor,mercor.com,Artificial Intelligence,Bay Area,"$75,000,000",Series B,Feb 2025,Growth List
Created by Humans,www.createdbyhumans.ai,Artificial Intelligence,Bay Area,"$5,500,000",Seed,Feb 2025,Growth List
Manas AI,www.manasai.co,Artificial Intelligence,Bay Area,"$24,600,000",Seed,Feb 2025,Growth List
BluWhale,bluwhale.net,"Artificial Intelligence, Cloud Computing",Bay Area,"$75,000,000",Initial Coin Offering,Feb 2025,Growth List
Savant Labs,savantlabs.io,"Artificial Intelligence, Data, Analytics",Bay Area,"$18,500,000",Series A,Feb 2025,Growth List
Athenic AI,Athenic.com,"Artificial Intelligence, Data, Analytics",Bay Area,"$4,300,000",Seed,Feb 2025,Growth List
Delve,www.delve.co,"Artificial Intelligence, Data, Marketing",Bay Area,"$3,300,000",Seed,Feb 2025,Growth List
Motif,motif.io,Augmented Reality,Bay Area,"$46,000,000",Series A,Feb 2025,Growth List
Atomicwork,www.atomicwork.com,Cloud Computing,Bay Area,"$25,000,000",Series A,Feb 2025,Growth List
Kroskod,Kroskod.com,Cloud Computing,Bay Area,,Pre-Seed,Feb 2025,Growth List
Roofr,roofr.com,"Construction, Marketplace, Aerospace",Bay Area,,Series B,Feb 2025,Growth List
Pakal Technologies,pakal-tech.com,Electronics,Bay Area,"$25,000,000",Series B,Feb 2025,Growth List
Smart Wires,www.smartwires.com,Energy,Bay Area,"$65,000,000",Private Equity,Feb 2025,Growth List
WeaveGrid,www.weavegrid.com,"Energy, Cloud Computing",Bay Area,,Venture - Series Unknown,Feb 2025,Growth List
Wisetack,www.wisetack.com,Finance,Bay Area,"$25,000,000",Venture - Series Unknown,Feb 2025,Growth List
Taxflow,www.jointaxflow.ai,"FinTech, Finance",Bay Area,"$750,000",Pre-Seed,Feb 2025,Growth List
Bicycle Health,www.bicyclehealth.com,Healthcare,Bay Area,"$16,500,000",Venture - Series Unknown,Feb 2025,Growth List
Delfina,www.delfina.com,Healthcare,Bay Area,"$17,000,000",Series A,Feb 2025,Growth List
Safely You,www.safely-you.com,"Healthcare, Family",Bay Area,"$43,000,000",Series C,Feb 2025,Growth List
