company_name,funding_amount,funding_type,industry,announced_date,city,data_source
Together AI,305000000,Series B,AI,2025-01-30,San Francisco,Recent News
Harvey,300000000,Series D,"Legal Tech, AI",2025-01-25,San Francisco,Recent News
Mercor,75000000,Series B,Artificial Intelligence,2025-02-20,San Francisco,Recent News
Baseten,75000000,Series C,AI Infrastructure,2025-02-10,San Francisco,Recent News
Manas AI,24600000,Seed,AI,2025-02-15,San Francisco,Recent News
Created by Humans,5500000,Seed,AI,2025-02-15,San Francisco,Recent News
Alumis,259000000,Series C,BioTech,2024-03-15,San Francisco,Recent News
Applied Intuition,250000000,Series E,Autonomous Vehicles,2024-03-12,Mountain View,Recent News
inDrive,150000000,Series D,Mobility,2024-03-08,Mountain View,Recent News
Observe,115000000,Series C,Data Analytics,2024-03-05,San Mateo,Recent News
Nozomi Networks,100000000,Series E,Cybersecurity,2024-03-01,San Francisco,Recent News
Perplexity AI,500000000,Series D,AI Search,2024-10-21,San Francisco,Recent News
Reworkd,2750000,Seed,AI Agents,2024-07-24,San Francisco,Recent News
