Description,Market,Names,No_Stage_Amount,No_Stage_Date,Pitch,Seed_Amount,Seed_Date,Series_A_Amount,Series_A_Date,Series_B_Amount,Series_B_Date,Series_C_Amount,Series_C_Date,Series_D_Amount,Series_D_Date,Stage,data_source,Company Name,Tags,Location,Investors,Website,Founded Year,Address,Lat,Long,Company Size,Tech stack,Marketing Stack,Design Stack,Product Stack
,Cable,Epic-Sciences,,,,,,,,"$13,000,000","Nov 13, 2012","$30,000,000","Jul 30, 2014",,,Series C,GitHub_funding,,,,,,,,,,,,,,
,All Students,Apreso-Classroom,,,,,,,,"$15,000,000","Oct 14, 2008",,,,,Series B,GitHub_funding,,,,,,,,,,,,,,
"Visualead (视觉码) creates better interactions between people and brands through mobile innovation. Through its patent-pending Visual QR Code technology and mobile marketing O2O platform, Visualead helps businesses connect with their customers both Offline and Online through a fun and effective mobile experience. Visualead's technology turns any image, profile picture, animation, and even video into an engaging Visual QR Code, which can be scanned by any QR code reader, increasing customer interaction with brands. Visualead is an Israeli startup with over 450,000 enterprises, agencies and businesses in over 200 countries using its platform to create Visual QR Codes and… · More mobile campaigns. Visualead won 1st place in China’s prestigious Global Mobile Internet Conference startup competition in 2013 and additional awards in E&Y’s Journey 2013 and Israel Computer Vision Conference 2014.",Bridging Online and Offline,Visualead,,,Effective and Secure Offline to Mobile experiences,"$750,000","Mar 25, 2012","$1,600,000","Aug 15, 2013",Unknown,"Jan 20, 2015",,,,,Series B,GitHub_funding,,,,,,,,,,,,,,
,Food Processing,Onshift,"$7,000,000","Feb  3, 2014",,,,,,"$3,000,000","Feb  2, 2012",,,,,Series C,GitHub_funding,,,,,,,,,,,,,,
,-,Xendex-Holding,,,,,,Unknown,"Jun 25, 2008","$3,500,000","Nov 30, 2009",,,,,Series A,GitHub_funding,,,,,,,,,,,,,,
Palo Alto-based FilmLoop has reportedly layed off most of its staff of 30 employees after attempts to sell the company failed. This comes just eight months..,Software,filmloop,,,,,,"$5,600,000","Feb  1, 2005","$7,000,000","May  1, 2006",,,,,Series A,GitHub_funding,,,,,,,,,,,,,,
,,Mochi-Media,,,,,,"$4,000,000","Mar 12, 2008","$10,000,000","Jun 18, 2008",,,,,,GitHub_funding,,,,,,,,,,,,,,
,-,SkyRecon-Systems,,,,,,"$3,730,000","Sep 12, 2005","$6,500,000","Mar 12, 2007",,,,,Series A,GitHub_funding,,,,,,,,,,,,,,
Challenge your brain with games designed by neuroscientists to exercise memory and attention. Customize your personalized brain training program today.,,Lumos-Labs,,,Creator of Lumosity,"$450,000","Jun 11, 2007","$3,100,000","Jun  3, 2008",,,"$32,500,000","Jun 16, 2011","$31,500,000","Aug 22, 2012",,GitHub_funding,,,,,,,,,,,,,,
"ROBLOX is a comprehensive 3D creation, publishing, and gameplay platform that empowers players to create 3D models and games and get them in front of a massive audience. We’re the world’s biggest platform for emerging and independent game developers, and we’re changing the future of gaming by offering developers capabilities they’ve never had before -- including the ability to earn money from their efforts. We have more than 5.2 million monthly active users spending over 80 million hours on ROBLOX each month. With our proprietary cloud, we also have a single code base running across desktop, iOS, and Android, and an infrastructure that can support 200,000 simultaneous… · More users. Our mission: to become the global leader in user-generated gaming and creation for all ages.Check out our latest news at http://blog.roblox.com",Blockchains,ROBLOX,,,User-Generated Online Gaming Platform,,,"$2,200,000","Aug 14, 2009","$4,000,000","Jun 14, 2011",,,,,Series A,GitHub_funding,,,,,,,,,,,,,,
"SendHub makes business communication fast and simple, on any device. Our all-in-one phone system provides SMS, voice, file and conference call functionality in an easy to use mobile app. Instantly set up an entire communication system that is fully scalable, with no hardware or contract required. Business Communication Simplified   *Reliability: SendHub delivers crystal clear voice and clarity. Our Voice V2 platform sets a new standard for call quality and reliability.  *Easy Setup: Quickly set up an entire communication system for your team or business. No hardware or contract required.*Mobile focus: Sendhub enables your team to… · More text, call, share files and launch conference calls with the smartphones they they already use.Additional Features:Conference CallsAuto Attendant Call Transfer Company Directory Contact Sharing Voicemail TranscriptionMessage ForwardingReal-Time Usage Analytics",B2B,SendHub,,,Phone System for the Mobile World,"$2,000,000","Apr 26, 2012","$3,000,000","Sep  6, 2013","$5,000,000","Nov 19, 2014",,,,,Series A,GitHub_funding,,,,,,,,,,,,,,
,Colleges,Health-Guru-Media,,,,,,"$250,000","Jan  1, 2007",,,"$3,200,000","Oct 21, 2009","$6,000,000","Jun 29, 2011",Series A,GitHub_funding,,,,,,,,,,,,,,
,Advertising,Madhouse-Media,Unknown,"Jan  1, 2013",,,,,,"$2,700,000","Mar  1, 2007","$1,000,000","Oct  1, 2008","$5,000,000","Jun  1, 2010",-,GitHub_funding,,,,,,,,,,,,,,
,Security,White-Sky,"$7,500,000","Jun 18, 2012",,,,"$5,000,000","Sep 26, 2006","$11,000,000","Sep 10, 2008",,,,,Series B,GitHub_funding,,,,,,,,,,,,,,
,Mobile Analytics,Forus-Health,,,,,,"$5,000,000","Apr 27, 2012","$8,400,000","Jan  9, 2014",,,,,Series A,GitHub_funding,,,,,,,,,,,,,,
"Able is the world’s first collaborative lender. We fund small businesses with the support of your network and ours. But, Able is more than a loan. We connect extraordinary entrepreneurs with additional capital, community resources, and expert advice when it’s time to grow.Anyone can apply to join Able. Our network of borrowers and backers is over 100 members strong and growing. Business owners can borrow up to $500,000 at rates as low as 8%. Friends and family contribute 25%, and Able covers the rest. Able then manages the loan of the borrower's behalf and Backers earn payments over the life of the loan.Able. More than a loan.",Drones,Able-Lending,"$7,250,000","Jul  1, 2013",Able is the world\u2019s first collaborative lender for small businesses. ,,,,,"$6,000,000","Aug 25, 2015",,,,,-,GitHub_funding,,,,,,,,,,,,,,
"UberMedia is the world’s leading independent developer of feature-rich social media products that make it easy to publish, consume and engage, no matter who you are. UberMedia’s growing portfolio includes market-leading Twitter applications UberSocial and Echofon.",Online Video Advertising,UberMedia,"$8,000,000","May  5, 2014","Developer of feature-rich social media products: UberSocial, Echofon & Plume",,,"$3,500,000","Apr 11, 2010","$17,500,000","Feb 14, 2011",,,,,IPO,GitHub_funding,,,,,,,,,,,,,,
"Our diverse team is developing lightweight electric vehicles with integrated online platforms, finding new ways to connect people with their environment. Founded in late 2012 by Assaf Biderman, Associate Director at MIT's Senseable City Lab, Superpedestrian seeks to provide new forms of human-powered mobility for cities. Ultimately, our vision is to offer an improved quality of living to everybody. The Copenhagen Wheel was initially developed at MIT's SENSEable City Lab as a research project, sponsored by the Mayor of Copenhagen. It has won multiple design awards and been reviewed in over 1,000 media publications, including BBC, Wired and the New York… · More Times - not to mention a glamourous acting debut during a whole season of TV series Weeds.",Bicycles,Superpedestrian,,,Transforming urban mobility,"$2,100,000","Oct 22, 2013",,,"$4,000,000","Sep 29, 2014",,,,,Series B,GitHub_funding,,,,,,,,,,,,,,
,Home Owners,Daylife,,,,,,,,"$8,300,000","Jun  1, 2007","$4,000,000","Jun 16, 2009",,,Series A,GitHub_funding,,,,,,,,,,,,,,
,Education,Radiate-Media,"$7,500,000","Aug 21, 2013",,,,,,"$22,000,000","Nov  1, 2011",,,,,Series B,GitHub_funding,,,,,,,,,,,,,,
,,Dailymotion,,,,,,"$9,500,000","Aug  1, 2006","$34,000,000","Aug  1, 2007","$25,000,000","Oct 23, 2009",,,,GitHub_funding,,,,,,,,,,,,,,
,SEO,Pernixdata,,,,,,"$7,000,000","Jan  1, 2012","$20,000,000","May 15, 2013","$35,000,000","Aug 20, 2014",,,Series C,GitHub_funding,,,,,,,,,,,,,,
We create beautiful and effective e-commerce services. We connect great technology with business approach. We combine soft skills like communication with hard skills like programming.,B2B,Divante,,,E-commerce experts ready to build amazing e-shops,,,"$850,000","Mar  1, 2013","$2,300,000","Dec 18, 2014",,,,,,GitHub_funding,,,,,,,,,,,,,,
"As the leader in messaging technology, Message Systems offers software that powers the world's most complex email, text and mobile app messaging operations.",P2P Money Transfer,Message-Systems,,,,,,"$6,000,000","Mar 25, 2010","$32,000,000","Jun 21, 2012",,,,,Series B,GitHub_funding,,,,,,,,,,,,,,
