company_name,funding_amount,industry,location,funding_rounds,founding_year,data_source,is_early_stage,is_startup,funding_category
Faire,1400000000,Retail,San Francisco,7,2017,Startup Genome,,True,Mega Round (>$100M)
Scale AI,602000000,AI Data,San Francisco,6,2016,Startup Genome,,True,Mega Round (>$100M)
Rippling,1200000000,HR Tech,San Francisco,6,2016,Startup Genome,,True,Mega Round (>$100M)
Brex,1200000000,FinTech,San Francisco,9,2017,Startup Genome,,True,Mega Round (>$100M)
Gusto,516000000,HR Tech,San Francisco,6,2011,Startup Genome,,True,Mega Round (>$100M)
Samsara,930000000,IoT,San Francisco,5,2015,Startup Genome,,True,Mega Round (>$100M)
Instacart,2700000000,Delivery,San Francisco,15,2012,Startup Genome,,True,Mega Round (>$100M)
Flexport,2200000000,Logistics,San Francisco,9,2013,Startup Genome,,True,Mega Round (>$100M)
Anduril,1900000000,Defense,Costa Mesa,5,2017,Startup Genome,,True,Mega Round (>$100M)
Figma,330000000,Design,San Francisco,6,2012,Startup Genome,,True,Mega Round (>$100M)
