name,description,hq,funding,website,employees_link,reviews_link
Numeric,"Building the next-gen financial data platform
Enterprise Software FinTech Accounting","San Francisco Bay Area, California, USA",Founders Fund Menlo VC IVP $28M Series A in 2024,https://www.numeric.io/?utm_source=topstartups.io,https://www.linkedin.com/company/numeric-io,
Render,"Help 2M+ developers build, deploy, and scale apps with unparalleled ease
SaaS Enterprise Software Developer Tools","San Francisco Bay Area, California, USA",Bessemer General Catalyst $80M Series C in 2025,https://www.render.com/?utm_source=topstartups.io,https://www.linkedin.com/company/renderco,
Harvey,"AI provider for legal workers
Artificial Intelligence Legal","San Francisco Bay Area, California, USA",Sequoia Kleiner Perkins $300M Series D in 2025 $3.0B valuation,https://www.harvey.ai/?utm_source=topstartups.io,https://www.linkedin.com/company/harvey-ai/,
Semgrep,"Profoundly improving software security and reliability
Cybersecurity SaaS","San Francisco Bay Area, California, USA",Sequoia $100M Series D in 2025,https://semgrep.dev/?utm_source=topstartups.io,https://www.linkedin.com/company/semgrep/,
HighTouch.io,"Sync customer data to your SaaS, marketing, sales, and success platforms.
Marketing Enterprise Software SaaS Sales","San Francisco Bay Area, California, USA",Y Combinator $80M Series C in 2025 $1.2B valuation,http://www.hightouch.io/?utm_source=topstartups.io,https://www.linkedin.com/company/hightouchio,
Qventus,"Qventus optimizes decisions in hospitals in real time to reduce costs, improve quality and experience.
Predictive Analytics Healthcare","San Francisco Bay Area, California, USA",Bessemer Y Combinator $85M Series D in 2025,http://www.qventus.com/?utm_source=topstartups.io,https://linkedin.com/company/qventus-inc,"https://www.glassdoor.com/Overview/Working-at-Qventus-EI_IE1687366.11,18.htm"
Speak,"Language learning app that gets you talking
SaaS Consumer Artificial Intelligence","San Francisco Bay Area, California, USA",Accel $78M Series C in 2024 $1.0B valuation,https://www.speak.com/?utm_source=topstartups.io,https://www.linkedin.com/company/usespeak,
Databricks,"Databricks is a data-and-AI company that interacts with corporate information stored in the public cloud.
Artificial Intelligence SaaS Analytics Data Science","San Francisco Bay Area, California, USA",Andreessen Horowitz $10B Series J in 2024 $62.0B valuation,http://databricks.com/?utm_source=topstartups.io,https://linkedin.com/company/databricks,https://www.glassdoor.com/Reviews/Databricks-Reviews-E954734.htm
Kong,"Kong offers the industry-leading service connectivity platform designed for modern architectures.
Enterprise Software SaaS","San Francisco Bay Area, California, USA",Andreessen Horowitz $175M Series E in 2024 $2.0B valuation,https://konghq.com/?utm_source=topstartups.io,https://www.linkedin.com/company/konghq/,https://www.glassdoor.com/Reviews/Kong-Reviews-E801963.htm
Cresta,"Cresta leverages artificial intelligence to help sales and service agents improve the quality of their customer service
Artificial Intelligence Sales Enterprise Software","San Francisco Bay Area, California, USA",Sequoia Andreessen Horowitz $125M Series D in 2024,http://cresta.com/?utm_source=topstartups.io,https://www.linkedin.com/company/cresta-inc/,https://www.glassdoor.com/Reviews/Cresta-Reviews-E805613.htm
Infinitus,"AI healthcare company focused on automating complex phone-based workflows
Health Artificial Intelligence","San Francisco Bay Area, California, USA",Andreessen Horowitz Kleiner Perkins $51M Series C in 2024,https://www.infinitus.ai/?utm_source=topstartups.io,https://www.linkedin.com/company/infinitusai,
Nooks,"AI dialing and prospecting platform, trusted by thousands of SDRs & AEs to cut out the busywork
Artificial Intelligence Sales","San Francisco Bay Area, California, USA",Kleiner Perkins $43M Series B in 2024,https://www.nooks.ai/?utm_source=topstartups.io,https://www.linkedin.com/company/nooksapp,
Decagon,"Develops AI support agents for enterprise
Artificial Intelligence Enterprise Software","San Francisco Bay Area, California, USA",Andreessen Horowitz Accel $65M Series B in 2024,https://decagon.ai/?utm_source=topstartups.io,https://www.linkedin.com/company/decagon-ai/,
World Labs,"Develops AI models with spatial intelligence for 3D world perception and interaction
Artificial Intelligence","San Francisco Bay Area, California, USA",Andreessen Horowitz $230M Series A in 2024 $1.0B valuation,https://www.worldlabs.ai/?utm_source=topstartups.io,https://www.linkedin.com/company/world-labs/,
Safe Superintelligence,"World's first straight-shot safe superintelligence lab
Artificial Intelligence","San Francisco Bay Area, California, USA",Sequoia Andreessen Horowitz $1B Series A in 2024,https://ssi.inc/?utm_source=topstartups.io,https://topstartups.io/target=%22_blank%22,
Harmonic,"Building the world’s most advanced mathematical reasoning engine
Artificial Intelligence","San Francisco Bay Area, California, USA",Sequoia $75M Series A in 2024,https://harmonic.fun/index/?utm_source=topstartups.io,https://www.linkedin.com/company/harmonicmath/,
Atlys,"Atlys makes it fast for anyone to get a visa.
Immigration Travel","San Francisco Bay Area, California, USA",Andreessen Horowitz Sequoia Accel $20M Series B in 2024,https://www.atlys.com/?utm_source=topstartups.io,https://www.linkedin.com/company/getatlys/,
Cortex,"Cortex is a software platform that manages and operates microservices.
Enterprise Software Developer Tools","San Francisco Bay Area, California, USA",Sequoia $60M Series C in 2024,https://www.cortex.io/?utm_source=topstartups.io,https://www.linkedin.com/company/cortexapp/,
