name,description,headquarters,funding,website,has_reviews,employees,founding_year
Numeric,"Building the next-gen financial data platform
Enterprise Software FinTech Accounting",,Founders Fund Menlo VC IVP $28M Series A in 2024,https://www.numeric.io/?utm_source=topstartups.io,False,11-50 employees,2021
Render,"Help 2M+ developers build, deploy, and scale apps with unparalleled ease
SaaS Enterprise Software Developer Tools",,Bessemer General Catalyst $80M Series C in 2025,https://www.render.com/?utm_source=topstartups.io,False,51-100 employees,2018
Harvey,"AI provider for legal workers
Artificial Intelligence Legal",,Sequoia Kleiner Perkins $300M Series D in 2025 $3.0B valuation,https://www.harvey.ai/?utm_source=topstartups.io,False,201-500 employees,2021
Semgrep,"Profoundly improving software security and reliability
Cybersecurity SaaS",,Sequoia $100M Series D in 2025,https://semgrep.dev/?utm_source=topstartups.io,False,201-500 employees,2017
HighTouch.io,"Sync customer data to your SaaS, marketing, sales, and success platforms.
Marketing Enterprise Software SaaS Sales",,Y Combinator $80M Series C in 2025 $1.2B valuation,http://www.hightouch.io/?utm_source=topstartups.io,False,11-50 employees,2018
Qventus,"Qventus optimizes decisions in hospitals in real time to reduce costs, improve quality and experience.
Predictive Analytics Healthcare",,Bessemer Y Combinator $85M Series D in 2025,http://www.qventus.com/?utm_source=topstartups.io,True,101-200 employees,2012
Speak,"Language learning app that gets you talking
SaaS Consumer Artificial Intelligence",,Accel $78M Series C in 2024 $1.0B valuation,https://www.speak.com/?utm_source=topstartups.io,False,11-50 employees,2016
Databricks,"Databricks is a data-and-AI company that interacts with corporate information stored in the public cloud.
Artificial Intelligence SaaS Analytics Data Science",,Andreessen Horowitz $10B Series J in 2024 $62.0B valuation,http://databricks.com/?utm_source=topstartups.io,True,5000+ employees,2013
Kong,"Kong offers the industry-leading service connectivity platform designed for modern architectures.
Enterprise Software SaaS",,Andreessen Horowitz $175M Series E in 2024 $2.0B valuation,https://konghq.com/?utm_source=topstartups.io,True,201-500 employees,2017
Cresta,"Cresta leverages artificial intelligence to help sales and service agents improve the quality of their customer service
Artificial Intelligence Sales Enterprise Software",,Sequoia Andreessen Horowitz $125M Series D in 2024,http://cresta.com/?utm_source=topstartups.io,True,201-500 employees,2017
Infinitus,"AI healthcare company focused on automating complex phone-based workflows
Health Artificial Intelligence",,Andreessen Horowitz Kleiner Perkins $51M Series C in 2024,https://www.infinitus.ai/?utm_source=topstartups.io,False,101-200 employees,2019
Nooks,"AI dialing and prospecting platform, trusted by thousands of SDRs & AEs to cut out the busywork
Artificial Intelligence Sales",,Kleiner Perkins $43M Series B in 2024,https://www.nooks.ai/?utm_source=topstartups.io,False,51-100 employees,2020
Decagon,"Develops AI support agents for enterprise
Artificial Intelligence Enterprise Software",,Andreessen Horowitz Accel $65M Series B in 2024,https://decagon.ai/?utm_source=topstartups.io,False,11-50 employees,2023
World Labs,"Develops AI models with spatial intelligence for 3D world perception and interaction
Artificial Intelligence",,Andreessen Horowitz $230M Series A in 2024 $1.0B valuation,https://www.worldlabs.ai/?utm_source=topstartups.io,False,11-50 employees,2023
Safe Superintelligence,"World's first straight-shot safe superintelligence lab
Artificial Intelligence",,Sequoia Andreessen Horowitz $1B Series A in 2024,https://ssi.inc/?utm_source=topstartups.io,False,1-10 employees,2024
Harmonic,"Building the world’s most advanced mathematical reasoning engine
Artificial Intelligence",,Sequoia $75M Series A in 2024,https://harmonic.fun/index/?utm_source=topstartups.io,False,11-50 employees,2023
Atlys,"Atlys makes it fast for anyone to get a visa.
Immigration Travel",,Andreessen Horowitz Sequoia Accel $20M Series B in 2024,https://www.atlys.com/?utm_source=topstartups.io,False,11-50 employees,2020
Cortex,"Cortex is a software platform that manages and operates microservices.
Enterprise Software Developer Tools",,Sequoia $60M Series C in 2024,https://www.cortex.io/?utm_source=topstartups.io,False,101-200 employees,2019
Get newly funded startups delivered to you weekly,,,,,False,,
Glean,"Work assistant that searches across all your company's apps to help you find what you need
Enterprise Software SaaS Artificial Intelligence",,Sequoia Kleiner Perkins $260M Series E in 2024 $4.6B valuation,https://www.glean.com/?utm_source=topstartups.io,True,201-500 employees,2019
Codeium,"Modern coding superpower
Artificial Intelligence SaaS",,Kleiner Perkins $150M Series C in 2024 $1.2B valuation,https://codeium.com/?utm_source=topstartups.io,False,101-200 employees,2021
Allium,"Allium makes blockchain data accurate, simple and fast
Artificial Intelligence Crypto",,Kleiner Perkins $21M Series A in 2024,https://www.allium.so/?utm_source=topstartups.io,False,1-10 employees,2021
Ema,"Universal AI employee that boosts productivity across every role
Artificial Intelligence Enterprise Software",,Accel $50M Series A in 2024,https://www.ema.co/?utm_source=topstartups.io,False,51-100 employees,2023
Astranis,"Astranis is a space startup that builds small and low-cost telecommunications satellites to provide internet access in remote regions.
Space Hardware",,Andreessen Horowitz Y Combinator $200M Series D in 2024 $1.4B valuation,http://www.astranis.com/?utm_source=topstartups.io,True,201-500 employees,2015
Vanta,"Vanta is an automated security monitoring platform that helps companies get SOC 2, HIPAA, or ISO 27001 certified quickly.
Cybersecurity Software",,Sequoia Y Combinator $150M Series C in 2024 $2.5B valuation,http://www.vanta.com/?utm_source=topstartups.io,True,201-500 employees,2017
Caldera,"Rollup deployment platform for the Metalayer
Crypto",,Sequoia Founders Fund $15M Series A in 2024,https://www.caldera.xyz/?utm_source=topstartups.io,False,11-50 employees,2022
xAI,"Accelerate human scientific discovery
Artificial Intelligence",,Sequoia Andreessen Horowitz $6B Series B in 2024 $24.0B valuation,https://x.ai/?utm_source=topstartups.io,False,101-200 employees,2023
Alkira,"Alkira offers a hybrid/multi-cloud network with network services, visibility, and governance.
Cybersecurity",,Sequoia $54M Series C in 2024,http://www.alkira.com/?utm_source=topstartups.io,True,51-100 employees,2018
