company_name,funding_total_usd,funding_type,category,city,founded_year,data_source
NetSystems,158165444,Series D,DevOps,Palo Alto,2019,Generated
MetaLabs,3334899,Seed,DevOps,Redwood City,2024,Generated
QuantumHub,32251227,Series C,Cryptocurrency,San Francisco,2024,Generated
TechSystems84,180142047,Series D,E-commerce,San Mateo,2018,Generated
Nexus AI,15035347,Series A,Consumer Apps,San Francisco,2021,Generated
TechAI69,301371,Pre-seed,Cybersecurity,Redwood City,2021,Generated
SmartTech,158184913,Series D,DevOps,Berkeley,2018,Generated
DigitalHub51,10151309,Series A,CleanTech,San Jose,2019,Generated
TechNetworks,851878,Pre-seed,Data Analytics,Oakland,2024,Generated
QuantumHub93,451037,Pre-seed,AI,San Mateo,2020,Generated
CloudHub,15361640,Series A,Hardware,Sunnyvale,2019,Generated
SmartPlatform52,2805222,Seed,Gaming,Oakland,2023,Generated
CyberLabs1,166561,Pre-seed,Data Analytics,Redwood City,2021,Generated
CloudHub,37364631,Series B,Gaming,San Francisco,2024,Generated
SmartNetworks59,256938,Pre-seed,MarTech,Oakland,2021,Generated
Atlas AI49,132971033,Series D,Data Analytics,San Mateo,2024,Generated
CloudHub,5834677,Series A,Robotics,Oakland,2018,Generated
Atlas Tech7,269771,Pre-seed,AR/VR,San Jose,2022,Generated
Stellar Hub,2931769,Seed,EdTech,Berkeley,2024,Generated
Orion Hub88,52941062,Series C,IoT,South San Francisco,2018,Generated
Zenith Solutions,23907708,Series B,DevOps,Sunnyvale,2024,Generated
NetSolutions,1364272,Seed,Gaming,Menlo Park,2021,Generated
NetSystems,3077068,Seed,Data Analytics,Oakland,2022,Generated
CloudApp,95377879,Series C,SaaS,Menlo Park,2024,Generated
DigitalNetworks,59929653,Series C,Data Analytics,Mountain View,2023,Generated
CloudTech,91785418,Series C,Hardware,Redwood City,2020,Generated
CloudNetworks,3839653,Seed,FinTech,Mountain View,2023,Generated
TechSystems,15120999,Series B,SaaS,South San Francisco,2020,Generated
CloudAI50,54507624,Series C,Hardware,Mountain View,2024,Generated
Zenith App7,80700839,Series D,Enterprise Software,San Jose,2022,Generated
QuantumWorks,65169682,Series C,DevOps,San Jose,2021,Generated
TechPlatform35,18391438,Series A,CleanTech,San Francisco,2018,Generated
MetaLabs,18702236,Series A,Cybersecurity,San Mateo,2021,Generated
CyberTech,119032287,Series E,FinTech,Redwood City,2024,Generated
Zephyr Solutions,25639073,Series B,Cloud Infrastructure,Palo Alto,2023,Generated
TechTech,29726641,Series B,DevOps,San Mateo,2023,Generated
DataApp,562256,Pre-seed,Cybersecurity,Redwood City,2022,Generated
Luminar Labs,79039274,Series D,AI,Mountain View,2020,Generated
NetHub,1300010,Seed,Cryptocurrency,San Jose,2021,Generated
MetaHub,47504664,Series C,Hardware,Redwood City,2024,Generated
NetSolutions,49023920,Series B,E-commerce,Redwood City,2022,Generated
Aegis App29,17167481,Series A,CleanTech,San Mateo,2024,Generated
CloudTech68,41634941,Series C,AR/VR,South San Francisco,2021,Generated
MetaNetworks9,535355,Pre-seed,HealthTech,San Francisco,2018,Generated
Apex Platform,14993977,Series A,Data Analytics,San Mateo,2022,Generated
Aegis Platform,603676,Pre-seed,EdTech,San Jose,2022,Generated
AILabs,223952361,Series E,AgTech,Menlo Park,2022,Generated
DigitalAI,84702478,Series C,AI,Palo Alto,2022,Generated
DigitalPlatform,5140195,Series A,Hardware,Palo Alto,2022,Generated
DigitalNetworks71,18139278,Series B,Cybersecurity,Berkeley,2023,Generated
Aegis Solutions,721083,Pre-seed,Biotech,Mountain View,2020,Generated
TechWorks,421459,Pre-seed,Cloud Infrastructure,San Jose,2022,Generated
DataWorks,108747190,Series E,Robotics,San Mateo,2020,Generated
DataPlatform,427979659,Series E,IoT,Redwood City,2020,Generated
Nexus Works,438675947,Series E,AR/VR,Sunnyvale,2024,Generated
TechWorks,261012526,Series E,SaaS,Oakland,2024,Generated
SmartLabs,793025,Pre-seed,AR/VR,Oakland,2019,Generated
Prism Works,161394334,Series E,Hardware,San Francisco,2018,Generated
Prism AI,214659,Pre-seed,Cybersecurity,Mountain View,2018,Generated
Cipher Hub51,98218452,Series D,Data Analytics,Berkeley,2020,Generated
AIPlatform,144270095,Series D,Cybersecurity,Berkeley,2021,Generated
CyberNetworks32,7458941,Series A,HealthTech,South San Francisco,2023,Generated
Orion AI57,4093973,Seed,Biotech,Mountain View,2021,Generated
Elysium Labs,116798629,Series E,Consumer Apps,San Jose,2022,Generated
DigitalSolutions20,7877768,Series A,Enterprise Software,Palo Alto,2018,Generated
CyberAI,322846,Pre-seed,MarTech,Oakland,2018,Generated
TechNetworks58,136416082,Series D,Hardware,South San Francisco,2020,Generated
DataSolutions,189052,Pre-seed,Gaming,San Jose,2018,Generated
MetaNetworks,270369891,Series E,FinTech,Oakland,2024,Generated
DigitalNetworks94,771229,Pre-seed,PropTech,Sunnyvale,2021,Generated
CloudWorks,89763967,Series C,Cloud Infrastructure,San Mateo,2023,Generated
DataLabs,82576611,Series C,Hardware,Sunnyvale,2018,Generated
NetPlatform,83370139,Series D,PropTech,Redwood City,2022,Generated
Zephyr Solutions,21774617,Series B,EdTech,Berkeley,2023,Generated
MetaLabs,828791,Pre-seed,Data Analytics,Menlo Park,2022,Generated
Stellar App36,76101937,Series C,FinTech,South San Francisco,2023,Generated
Zenith App,203296,Pre-seed,DevOps,Redwood City,2021,Generated
DataNetworks11,87763536,Series D,CleanTech,Mountain View,2022,Generated
QuantumWorks,91582779,Series C,AR/VR,Mountain View,2021,Generated
MetaNetworks,124940809,Series D,PropTech,San Francisco,2018,Generated
Elysium App96,8462660,Series A,Enterprise Software,San Francisco,2023,Generated
DigitalLabs,54044969,Series C,Blockchain,Oakland,2020,Generated
Elysium Tech,10351548,Series A,Blockchain,San Francisco,2020,Generated
Prism Networks,665594,Pre-seed,SaaS,Palo Alto,2023,Generated
TechHub,49653418,Series B,IoT,San Jose,2020,Generated
QuantumHub,27096870,Series B,AgTech,Oakland,2023,Generated
CyberWorks,143765,Pre-seed,Data Analytics,Berkeley,2024,Generated
DigitalWorks,4457681,Seed,AR/VR,Sunnyvale,2023,Generated
MetaNetworks66,2661187,Seed,Gaming,Palo Alto,2018,Generated
NetLabs,43705897,Series B,Cloud Infrastructure,San Jose,2021,Generated
