company_name,industry,location,data_source,investor,mention_count
Airbnb,Travel/Hospitality,San Francisco,Fallback Data,,
Stripe,Fintech,San Francisco,Fallback Data,,
Lyft,Transportation,San Francisco,Fallback Data,,
Uber,Transportation,San Francisco,Fallback Data,,
Doordash,Food Delivery,San Francisco,Fallback Data,,
Coinbase,Cryptocurrency,San Francisco,Fallback Data,,
Discord,Communications,San Francisco,Fallback Data,,
Figma,Design Software,San Francisco,Fallback Data,,
Slack,Business Communications,San Francisco,Fallback Data,,
Square,Fintech,San Francisco,Fallback Data,,
Meta,,Menlo Park,Fallback Silicon Valley Data,,
Google,,Mountain View,Fallback Silicon Valley Data,,
Apple,,Cupertino,Fallback Silicon Valley Data,,
Netflix,,Los Gatos,Fallback Silicon Valley Data,,
Adobe,,San Jose,Fallback Silicon Valley Data,,
Nvidia,,Santa Clara,Fallback Silicon Valley Data,,
News & Content,,,VC Portfolio (alternative method),Andreessen Horowitz,
Team,,,VC Portfolio (alternative method),Andreessen Horowitz,
Jobs,,,VC Portfolio (alternative method),Andreessen Horowitz,
Connect,,,VC Portfolio (alternative method),Andreessen Horowitz,
American Dynamism,,,VC Portfolio (alternative method),Andreessen Horowitz,
Bio + Health,,,VC Portfolio (alternative method),Andreessen Horowitz,
Consumer,,,VC Portfolio (alternative method),Andreessen Horowitz,
Crypto,,,VC Portfolio (alternative method),Andreessen Horowitz,
Enterprise,,,VC Portfolio (alternative method),Andreessen Horowitz,
Fintech,,,VC Portfolio (alternative method),Andreessen Horowitz,
Games,,,VC Portfolio (alternative method),Andreessen Horowitz,
Infrastructure,,,VC Portfolio (alternative method),Andreessen Horowitz,
Seed,,,VC Portfolio (alternative method),Andreessen Horowitz,
Speedrun,,,VC Portfolio (alternative method),Andreessen Horowitz,
Growth,,,VC Portfolio (alternative method),Andreessen Horowitz,
Cultural Leadership Fund,,,VC Portfolio (alternative method),Andreessen Horowitz,
Talent X Opportunity,,,VC Portfolio (alternative method),Andreessen Horowitz,
Perennial,,,VC Portfolio (alternative method),Andreessen Horowitz,
See More Results,,,VC Portfolio (alternative method),Andreessen Horowitz,
